candidate_id	flopo_id	label
FLOPO_VALUE_pale_blue_flushed_with_purple	FLOPO_0980290	pale blue flushed with purple
FLOPO_VALUE_flushed_with_purple	FLOPO_0980291	flushed with purple
FLOPO_VALUE_segmented_pod_like	FLOPO_0980292	segmented pod-like
FLOPO_VALUE_tangled_spirally_curved	FLOPO_0980293	tangled spirally curved
FLOPO_VALUE_spirally_curved	FLOPO_0980294	spirally curved
FLOPO_VALUE_greenish_brown	FLOPO_0980295	greenish brown
FLOPO_VALUE_scarlet_flushed	FLOPO_0980296	scarlet-flushed
FLOPO_VALUE_green_and_purplish	FLOPO_0980297	green and purplish
FLOPO_VALUE_pale_greenish_red	FLOPO_0980298	pale greenish red
FLOPO_VALUE_pale_brownish	FLOPO_0980299	pale brownish
FLOPO_VALUE_long_distinctive	FLOPO_0980300	long distinctive
FLOPO_VALUE_white_and_lilac	FLOPO_0980301	white and lilac
FLOPO_VALUE_white_lilac	FLOPO_0980302	white, lilac
FLOPO_VALUE_bright_lilac_blue	FLOPO_0980303	bright lilac-blue
FLOPO_VALUE_narrow_deeply_lobed	FLOPO_0980304	narrow deeply lobed
FLOPO_VALUE_large_pale_cream	FLOPO_0980305	large pale cream
FLOPO_VALUE_very_pale_green	FLOPO_0980306	very pale green
FLOPO_VALUE_four_angled	FLOPO_0980307	four-angled
FLOPO_VALUE_constricted_at_intervals	FLOPO_0980308	constricted at intervals
FLOPO_VALUE_pale_lilac_pink	FLOPO_0980309	pale lilac-pink
FLOPO_VALUE_flat_almost_re_circular	FLOPO_0980310	flat, almost re circular
FLOPO_VALUE_white_rosy_lilac	FLOPO_0980311	white rosy-lilac
FLOPO_VALUE_green_flushed_red	FLOPO_0980312	green flushed red
FLOPO_VALUE_pinkish_green	FLOPO_0980313	pinkish green
FLOPO_VALUE_reddish_brown	FLOPO_0980314	reddish-brown
FLOPO_VALUE_pale_creamy_white	FLOPO_0980315	pale creamy-white
FLOPO_VALUE_small_round_dentate	FLOPO_0980316	small round dentate
FLOPO_VALUE_white_flushed_with_pale_lilac	FLOPO_0980317	white flushed with pale lilac
FLOPO_VALUE_lobed_palmate	FLOPO_0980318	lobed palmate
FLOPO_VALUE_reduced_to_yellow_stamens	FLOPO_0980319	reduced to yellow stamens
FLOPO_VALUE_silver_grey	FLOPO_0980320	silver-grey
FLOPO_VALUE_papery_yellow	FLOPO_0980321	papery yellow
FLOPO_VALUE_very_brittle	FLOPO_0980322	very brittle
FLOPO_VALUE_dark_crimson_red	FLOPO_0980323	dark crimson-red
FLOPO_VALUE_long_slender	FLOPO_0980324	long slender
FLOPO_VALUE_soft_felted	FLOPO_0980325	soft felted
FLOPO_VALUE_large_round_winged	FLOPO_0980326	large round winged
FLOPO_VALUE_whitish_lilac	FLOPO_0980327	whitish lilac
FLOPO_VALUE_large_toothed	FLOPO_0980328	large toothed
FLOPO_VALUE_reddish_brown	FLOPO_0980329	reddish brown
FLOPO_VALUE_long_and_narrow	FLOPO_0980330	long and narrow
FLOPO_VALUE_greatly_reduced	FLOPO_0980331	greatly reduced
FLOPO_VALUE_rosy_pink	FLOPO_0980332	rosy-pink
FLOPO_VALUE_short_pagoda_like	FLOPO_0980333	short pagoda-like
FLOPO_VALUE_narrow_heart_shaped	FLOPO_0980334	narrow heart-shaped
FLOPO_VALUE_greenish_gold	FLOPO_0980335	greenish-gold
FLOPO_VALUE_greenish_red	FLOPO_0980336	greenish red
FLOPO_VALUE_slightly_variable	FLOPO_0980337	slightly variable
FLOPO_VALUE_pinkish_red	FLOPO_0980338	pinkish red
FLOPO_VALUE_curved_separated_claw_shaped	FLOPO_0980339	curved, separated claw-shaped
FLOPO_VALUE_bright_lilac_and_pink	FLOPO_0980340	bright lilac and pink
FLOPO_VALUE_narrow_grass_like	FLOPO_0980341	narrow grass-like
FLOPO_VALUE_cottony	FLOPO_0980342	cottony
FLOPO_VALUE_blue_or_lilac	FLOPO_0980343	blue or lilac
FLOPO_VALUE_flat_circular	FLOPO_0980344	flat circular
FLOPO_VALUE_tubular_creamy	FLOPO_0980345	tubular creamy
FLOPO_VALUE_yellow_or_reddish_orange	FLOPO_0980346	yellow or reddish orange
FLOPO_VALUE_dense_thicket	FLOPO_0980347	dense thicket
FLOPO_VALUE_lilac_pink	FLOPO_0980348	lilac-pink
FLOPO_VALUE_several_metres_long	FLOPO_0980349	several metres long
FLOPO_VALUE_yellowish_green	FLOPO_0980350	yellowish green
FLOPO_VALUE_white_tinged_with_pink	FLOPO_0980351	white tinged with pink
FLOPO_VALUE_very_pale_pink	FLOPO_0980352	very pale pink
FLOPO_VALUE_red_flushed_pale_yellowish	FLOPO_0980353	red flushed pale yellowish
FLOPO_VALUE_slightly_spatulate	FLOPO_0980354	slightly spatulate
FLOPO_VALUE_green_flushed_with_red	FLOPO_0980355	green flushed with red
FLOPO_VALUE_creamy_green	FLOPO_0980356	creamy-green
FLOPO_VALUE_spirally_coiled	FLOPO_0980357	spirally coiled
FLOPO_VALUE_flat_spirally_coiled	FLOPO_0980358	flat spirally coiled
FLOPO_VALUE_pale_salmon_pink	FLOPO_0980359	pale salmon-pink
FLOPO_VALUE_glaucous	FLOPO_0980360	glaucous
FLOPO_VALUE_thick_brittle	FLOPO_0980361	thick brittle
FLOPO_VALUE_small_narrow	FLOPO_0980362	small narrow
FLOPO_VALUE_bright_sky_blue	FLOPO_0980363	bright sky-blue
FLOPO_VALUE_dark_purplish	FLOPO_0980364	dark purplish
FLOPO_VALUE_dead_white	FLOPO_0980365	dead white
FLOPO_VALUE_purple_magenta	FLOPO_0980366	purple-magenta
FLOPO_VALUE_blue_and_white	FLOPO_0980367	blue and white
FLOPO_VALUE_white_flushed_with_purplish	FLOPO_0980368	white flushed with purplish
FLOPO_VALUE_variable_white_flushed_with_purplish	FLOPO_0980369	variable, white flushed with purplish
FLOPO_VALUE_slightly_hairy	FLOPO_0980370	slightly hairy
FLOPO_VALUE_very_long	FLOPO_0980371	very long
FLOPO_VALUE_pale_greenish_white	FLOPO_0980372	pale greenish-white
FLOPO_VALUE_slender_spidery	FLOPO_0980373	slender spidery
FLOPO_VALUE_pale_reddish	FLOPO_0980374	pale reddish
FLOPO_VALUE_greyish_heart_shaped	FLOPO_0980375	greyish heart-shaped
FLOPO_VALUE_bright_deep_blue	FLOPO_0980376	bright deep blue
FLOPO_VALUE_deep_violet	FLOPO_0980377	deep violet
FLOPO_VALUE_fleshy_green	FLOPO_0980378	fleshy green
FLOPO_VALUE_flattened_oval	FLOPO_0980379	flattened oval
FLOPO_VALUE_pointed_tip	FLOPO_0980380	pointed tip
FLOPO_VALUE_purple_brown	FLOPO_0980381	purple-brown
FLOPO_VALUE_pale_grey	FLOPO_0980382	pale grey
FLOPO_VALUE_rounded_pointed	FLOPO_0980383	rounded pointed
FLOPO_VALUE_shiny_green	FLOPO_0980384	shiny green
FLOPO_VALUE_short_flat	FLOPO_0980385	short, flat
FLOPO_VALUE_dark_pinkish_purple	FLOPO_0980386	dark pinkish purple
FLOPO_VALUE_pale_blue_to_almost_white	FLOPO_0980387	pale blue to almost white
FLOPO_VALUE_blue_grey	FLOPO_0980388	blue-grey
FLOPO_VALUE_yellow_and_blue_green	FLOPO_0980389	yellow and blue-green
FLOPO_VALUE_banded_and_tessellated	FLOPO_0980390	banded and tessellated
FLOPO_VALUE_fairly_wide	FLOPO_0980391	fairly wide
FLOPO_VALUE_almost_round_flat	FLOPO_0980392	almost round flat
FLOPO_VALUE_narrow_oval	FLOPO_0980393	narrow oval
FLOPO_VALUE_purplish_red	FLOPO_0980394	purplish red
FLOPO_VALUE_deep_rosy	FLOPO_0980395	deep rosy
FLOPO_VALUE_almost_round_dentate	FLOPO_0980396	almost round dentate
FLOPO_VALUE_broadly_oval	FLOPO_0980397	broadly oval
FLOPO_VALUE_brilliant_deep_pink	FLOPO_0980398	brilliant deep pink
FLOPO_VALUE_inflated_in_fruit	FLOPO_0980399	inflated in fruit
FLOPO_VALUE_white_flushed_with_deep_pink	FLOPO_0980400	white flushed with deep pink
FLOPO_VALUE_almost_terete	FLOPO_0980401	almost terete
FLOPO_VALUE_orange_ripe	FLOPO_0980402	orange ripe
FLOPO_VALUE_bright_lilac	FLOPO_0980403	bright lilac
FLOPO_VALUE_small_cylindrical_succulent	FLOPO_0980404	small cylindrical succulent
FLOPO_VALUE_pale_pinkish_white	FLOPO_0980405	pale pinkish white
FLOPO_VALUE_crimson_tipped	FLOPO_0980406	crimson tipped
FLOPO_VALUE_silvery_green	FLOPO_0980407	silvery-green
FLOPO_VALUE_deep_rosy_red	FLOPO_0980408	deep rosy-red
FLOPO_VALUE_bright_reddish_purple	FLOPO_0980409	bright reddish purple
FLOPO_VALUE_flat_heads	FLOPO_0980410	flat heads
FLOPO_VALUE_dense_club_shaped	FLOPO_0980411	dense club-shaped
FLOPO_VALUE_sometimes_lobed	FLOPO_0980412	sometimes lobed
FLOPO_VALUE_reddish_purple	FLOPO_0980413	reddish purple
FLOPO_VALUE_deep_magenta_pink	FLOPO_0980414	deep magenta-pink
FLOPO_VALUE_narrow_pointed	FLOPO_0980415	narrow pointed
FLOPO_VALUE_reddish_orange	FLOPO_0980416	reddish orange
