flopo_id	label	entity	old_filler	old_filler_label	new_filler	new_filler_label	word_scope	action
FLOPO:0019491	bracteole dark brown	PO_0009043	PATO:0001245	dark brown	FLOPO:0988084	dark brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019505	seed vermilion	PO_0009010	PATO:0001302	vermilion	FLOPO:0988001	red	RELATED	keep ID; replace EquivalentTo by SubClassOf(has_part some (E and has_quality some TARGET)); keep old PATO filler until PATO obsoletes it
FLOPO:0019511	bud dark red	PO_0000055	PATO:0001261	dark red	FLOPO:0988042	dark red	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019520	stamen yellow	PO_0009029	PATO:0000324	yellow	FLOPO:0988004	yellow	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019526	spikelet violet	PO_0009051	PATO:0001424	violet	FLOPO:0988027	violet	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019528	sepal violet	PO_0009031	PATO:0001424	violet	FLOPO:0988027	violet	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019529	shoot apex ochre	PO_0000037	PATO:0001945	ochre	FLOPO:0988004	yellow	RELATED	keep ID; replace EquivalentTo by SubClassOf(has_part some (E and has_quality some TARGET)); keep old PATO filler until PATO obsoletes it
FLOPO:0019540	hydathode white	PO_0005660	PATO:0000323	white	FLOPO:0988009	white	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019541	hydathode color	PO_0005660	PATO:0000014	color	PATO:0000014	color		keep (generic colour phenotype, filler PATO:0000014 unchanged)
FLOPO:0019580	sepal orange	PO_0009031	PATO:0000953	orange	FLOPO:0988002	orange	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019583	subterranean tuber green	PO_0004547	PATO:0000320	green	FLOPO:0988006	green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019584	subterranean tuber color	PO_0004547	PATO:0000014	color	PATO:0000014	color		keep (generic colour phenotype, filler PATO:0000014 unchanged)
FLOPO:0019585	arillode red	PO_0025378	PATO:0000322	red	FLOPO:0988001	red	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019586	arillode color	PO_0025378	PATO:0000014	color	PATO:0000014	color		keep (generic colour phenotype, filler PATO:0000014 unchanged)
FLOPO:0019606	inflorescence dark green	PO_0009049	PATO:0001249	dark green	PATO:0001249	dark green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019628	leaf apex green	PO_0020137	PATO:0000320	green	FLOPO:0988006	green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019629	leaf apex color	PO_0020137	PATO:0000014	color	PATO:0000014	color		keep (generic colour phenotype, filler PATO:0000014 unchanged)
FLOPO:0019635	calyx magenta	PO_0009060	PATO:0000321	magenta	FLOPO:0988001	red	RELATED	keep ID; replace EquivalentTo by SubClassOf(has_part some (E and has_quality some TARGET)); keep old PATO filler until PATO obsoletes it
