proposal_key	ontology_id	label	kind	iscc_nbs_level	iscc_nbs_number	status	canonical_key
ISCCNBS:L3_045	FLOPO:0988071	light grayish reddish brown	backbone_class	3	45	new_flopo_local	ISCCNBS:L3_045
ISCCNBS:L3_046	FLOPO:0988072	grayish reddish brown	backbone_class	3	46	new_flopo_local	ISCCNBS:L3_046
ISCCNBS:L3_047	FLOPO:0988073	dark grayish reddish brown	backbone_class	3	47	new_flopo_local	ISCCNBS:L3_047
ISCCNBS:L3_048	FLOPO:0988074	vivid orange	backbone_class	3	48	new_flopo_local	ISCCNBS:L3_048
ISCCNBS:L3_049	FLOPO:0988075	brilliant orange	backbone_class	3	49	new_flopo_local	ISCCNBS:L3_049
ISCCNBS:L3_050	FLOPO:0988076	strong orange	backbone_class	3	50	new_flopo_local	ISCCNBS:L3_050
ISCCNBS:L3_051	PATO:0104073	deep orange	backbone_class	3	51	existing_pato_reused	ISCCNBS:L3_051
ISCCNBS:L3_052	FLOPO:0988077	light orange	backbone_class	3	52	new_flopo_local	ISCCNBS:L3_052
ISCCNBS:L3_053	FLOPO:0988078	moderate orange	backbone_class	3	53	new_flopo_local	ISCCNBS:L3_053
ISCCNBS:L3_054	FLOPO:0988079	brownish orange	backbone_class	3	54	new_flopo_local	ISCCNBS:L3_054
ISCCNBS:L3_055	FLOPO:0988080	strong brown	backbone_class	3	55	new_flopo_local	ISCCNBS:L3_055
ISCCNBS:L3_056	FLOPO:0988081	deep brown	backbone_class	3	56	new_flopo_local	ISCCNBS:L3_056
ISCCNBS:L3_057	FLOPO:0988082	light brown	backbone_class	3	57	new_flopo_local	ISCCNBS:L3_057
ISCCNBS:L3_058	FLOPO:0988083	moderate brown	backbone_class	3	58	new_flopo_local	ISCCNBS:L3_058
ISCCNBS:L3_059	FLOPO:0988084	dark brown	backbone_class	3	59	new_flopo_local	ISCCNBS:L3_059
ISCCNBS:L3_060	FLOPO:0988085	light grayish brown	backbone_class	3	60	new_flopo_local	ISCCNBS:L3_060
ISCCNBS:L3_061	FLOPO:0988086	grayish brown	backbone_class	3	61	new_flopo_local	ISCCNBS:L3_061
ISCCNBS:L3_062	FLOPO:0988087	dark grayish brown	backbone_class	3	62	new_flopo_local	ISCCNBS:L3_062
ISCCNBS:L3_063	FLOPO:0988088	light brownish gray	backbone_class	3	63	new_flopo_local	ISCCNBS:L3_063
ISCCNBS:L3_064	FLOPO:0988089	brownish gray	backbone_class	3	64	new_flopo_local	ISCCNBS:L3_064
ISCCNBS:L3_065	FLOPO:0988090	brownish black	backbone_class	3	65	new_flopo_local	ISCCNBS:L3_065
ISCCNBS:L3_066	FLOPO:0988091	vivid orange yellow	backbone_class	3	66	new_flopo_local	ISCCNBS:L3_066
ISCCNBS:L3_067	FLOPO:0988092	brilliant orange yellow	backbone_class	3	67	new_flopo_local	ISCCNBS:L3_067
ISCCNBS:L3_068	FLOPO:0988093	strong orange yellow	backbone_class	3	68	new_flopo_local	ISCCNBS:L3_068
ISCCNBS:L3_069	FLOPO:0988094	deep orange yellow	backbone_class	3	69	new_flopo_local	ISCCNBS:L3_069
ISCCNBS:L3_070	FLOPO:0988095	light orange yellow	backbone_class	3	70	new_flopo_local	ISCCNBS:L3_070
ISCCNBS:L3_071	FLOPO:0988096	moderate orange yellow	backbone_class	3	71	new_flopo_local	ISCCNBS:L3_071
ISCCNBS:L3_072	FLOPO:0988097	dark orange yellow	backbone_class	3	72	new_flopo_local	ISCCNBS:L3_072
ISCCNBS:L3_073	FLOPO:0988098	pale orange yellow	backbone_class	3	73	new_flopo_local	ISCCNBS:L3_073
ISCCNBS:L3_074	FLOPO:0988099	strong yellowish brown	backbone_class	3	74	new_flopo_local	ISCCNBS:L3_074
ISCCNBS:L3_075	FLOPO:0988100	deep yellowish brown	backbone_class	3	75	new_flopo_local	ISCCNBS:L3_075
ISCCNBS:L3_076	FLOPO:0988101	light yellowish brown	backbone_class	3	76	new_flopo_local	ISCCNBS:L3_076
ISCCNBS:L3_077	FLOPO:0988102	moderate yellowish brown	backbone_class	3	77	new_flopo_local	ISCCNBS:L3_077
