proposal_key	flopo_id	label	signature	kind
EQ|PO_0009047|PATO_0000327	FLOPO_0989164	stem low brightness	EQ|PO_0009047|PATO_0000327	phenotype
EQ|PO_0009047|PATO_0001251	FLOPO_0989165	stem dark grey	EQ|PO_0009047|PATO_0001251	phenotype
EQ|PO_0009047|PATO_0104031	FLOPO_0989166	stem cream	EQ|PO_0009047|PATO_0104031	phenotype
EQ|PO_0009049|PATO_0001262	FLOPO_0989167	inflorescence light red	EQ|PO_0009049|PATO_0001262	phenotype
EQ|PO_0009049|PATO_0001331	FLOPO_0989168	inflorescence odorous	EQ|PO_0009049|PATO_0001331	phenotype
EQ|PO_0009058|PATO_0104032	FLOPO_0989169	perianth coriaceous	EQ|PO_0009058|PATO_0104032	phenotype
EQ|PO_0009081|PATO_0000122	FLOPO_0989170	higher order inflorescence axis length	EQ|PO_0009081|PATO_0000122	phenotype
EQ|PO_0009088|PATO_0000700	FLOPO_0989171	seed coat rough	EQ|PO_0009088|PATO_0000700	phenotype
EQ|PO_0009088|PATO_0001759	FLOPO_0989172	seed coat granular	EQ|PO_0009088|PATO_0001759	phenotype
EQ|PO_0020038|PATO_0002348	FLOPO_0989173	petiole ligneous	EQ|PO_0020038|PATO_0002348	phenotype
EQ|PO_0020038|PATO_0070059	FLOPO_0989174	petiole rusty	EQ|PO_0020038|PATO_0070059	phenotype
EQ|PO_0020039|PATO_0000454	FLOPO_0989175	leaf lamina hairy	EQ|PO_0020039|PATO_0000454	phenotype
EQ|PO_0020039|PATO_0002241	FLOPO_0989176	leaf lamina trilobed	EQ|PO_0020039|PATO_0002241	phenotype
EQ|PO_0020040|PATO_0000616	FLOPO_0989177	leaf base asymmetrical	EQ|PO_0020040|PATO_0000616	phenotype
EQ|PO_0020041|PATO_0001419	FLOPO_0989178	stipule sharp	EQ|PO_0020041|PATO_0001419	phenotype
EQ|PO_0020043|PATO_0000122	FLOPO_0989179	compound leaf length	EQ|PO_0020043|PATO_0000122	phenotype
EQ|PO_0020043|PATO_0000921	FLOPO_0989180	compound leaf width	EQ|PO_0020043|PATO_0000921	phenotype
EQ|PO_0020049|PATO_0001154	FLOPO_0989181	leaflet elongated	EQ|PO_0020049|PATO_0001154	phenotype
EQ|PO_0020049|PATO_0001412	FLOPO_0989182	leaflet unstructured	EQ|PO_0020049|PATO_0001412	phenotype
EQ|PO_0020049|PATO_0002445	FLOPO_0989183	leaflet torsioned	EQ|PO_0020049|PATO_0002445	phenotype
EQ|PO_0020061|PATO_0000467	FLOPO_0989184	coma present	EQ|PO_0020061|PATO_0000467	phenotype
EQ|PO_0020121|PATO_0000467	FLOPO_0989185	lateral root present	EQ|PO_0020121|PATO_0000467	phenotype
EQ|PO_0020122|PATO_0000122	FLOPO_0989186	inflorescence axis length	EQ|PO_0020122|PATO_0000122	phenotype
EQ|PO_0020128|PATO_0000323	FLOPO_0989187	leaf margin white	EQ|PO_0020128|PATO_0000323	phenotype
EQ|PO_0020128|PATO_0001365	FLOPO_0989188	leaf margin spiny	EQ|PO_0020128|PATO_0001365	phenotype
EQ|PO_0020128|PATO_0001594	FLOPO_0989189	leaf margin arched	EQ|PO_0020128|PATO_0001594	phenotype
EQ|PO_0020128|PATO_0001786	FLOPO_0989190	leaf margin split	EQ|PO_0020128|PATO_0001786	phenotype
EQ|PO_0020137|PATO_0001365	FLOPO_0989191	leaf apex spiny	EQ|PO_0020137|PATO_0001365	phenotype
EQ|PO_0020137|PATO_0001500	FLOPO_0989192	leaf apex tapered	EQ|PO_0020137|PATO_0001500	phenotype
EQ|PO_0025008|PATO_0104013	FLOPO_0989193	petal margin greenish yellow	EQ|PO_0025008|PATO_0104013	phenotype
EQ|PO_0025025|PATO_0001855	FLOPO_0989194	root system horizontal	EQ|PO_0025025|PATO_0001855	phenotype
EQ|PO_0025034|PATO_0000327	FLOPO_0989195	leaf low brightness	EQ|PO_0025034|PATO_0000327	phenotype
EQ|PO_0025034|PATO_0001359	FLOPO_0989196	leaf rugose	EQ|PO_0025034|PATO_0001359	phenotype
EQ|PO_0025034|PATO_0002226	FLOPO_0989197	leaf subcylindrical	EQ|PO_0025034|PATO_0002226	phenotype
EQ|PO_0025034|PATO_0002235	FLOPO_0989198	leaf blade-like	EQ|PO_0025034|PATO_0002235	phenotype
EQ|PO_0025034|PATO_0002430	FLOPO_0989199	leaf strap-shaped	EQ|PO_0025034|PATO_0002430	phenotype
EQ|PO_0025034|PATO_0104114	FLOPO_0989200	leaf yellowish green	EQ|PO_0025034|PATO_0104114	phenotype
EQ|PO_0025034|PATO_0104123	FLOPO_0989201	leaf deep green	EQ|PO_0025034|PATO_0104123	phenotype
EQ|PO_0025073|PATO_0001251	FLOPO_0989202	branch dark grey	EQ|PO_0025073|PATO_0001251	phenotype
EQ|PO_0025073|PATO_0001252	FLOPO_0989203	branch light grey	EQ|PO_0025073|PATO_0001252	phenotype
EQ|PO_0025073|PATO_0001272	FLOPO_0989204	branch desaturated green	EQ|PO_0025073|PATO_0001272	phenotype
EQ|PO_0025073|PATO_0001284	FLOPO_0989205	branch desaturated red	EQ|PO_0025073|PATO_0001284	phenotype
EQ|PO_0025073|PATO_0001802	FLOPO_0989206	branch loose	EQ|PO_0025073|PATO_0001802	phenotype
EQ|PO_0025073|PATO_0001846	FLOPO_0989207	branch tangled	EQ|PO_0025073|PATO_0001846	phenotype
EQ|PO_0025073|PATO_0001989	FLOPO_0989208	branch sinuous	EQ|PO_0025073|PATO_0001989	phenotype
EQ|PO_0025073|PATO_0002310	FLOPO_0989209	branch robust	EQ|PO_0025073|PATO_0002310	phenotype
EQ|PO_0025073|PATO_0104020	FLOPO_0989210	branch blue green	EQ|PO_0025073|PATO_0104020	phenotype
EQ|PO_0025073|PATO_0104311	FLOPO_0989211	branch purplish red	EQ|PO_0025073|PATO_0104311	phenotype
EQ|PO_0025083|PATO_0000122	FLOPO_0989212	strobilus length	EQ|PO_0025083|PATO_0000122	phenotype
EQ|PO_0025083|PATO_0000323	FLOPO_0989213	strobilus white	EQ|PO_0025083|PATO_0000323	phenotype
EQ|PO_0025083|PATO_0000952	FLOPO_0989214	strobilus brown	EQ|PO_0025083|PATO_0000952	phenotype
EQ|PO_0025083|PATO_0000953	FLOPO_0989215	strobilus orange	EQ|PO_0025083|PATO_0000953	phenotype
EQ|PO_0025083|PATO_0001354	FLOPO_0989216	strobilus translucent	EQ|PO_0025083|PATO_0001354	phenotype
EQ|PO_0025083|PATO_0001499	FLOPO_0989217	strobilus spherical	EQ|PO_0025083|PATO_0001499	phenotype
EQ|PO_0025083|PATO_0002351	FLOPO_0989218	strobilus fleshy	EQ|PO_0025083|PATO_0002351	phenotype
EQ|PO_0025169|PATO_0002310	FLOPO_0989219	prickle robust	EQ|PO_0025169|PATO_0002310	phenotype
EQ|PO_0025172|PATO_0001245	FLOPO_0989220	thorn dark brown	EQ|PO_0025172|PATO_0001245	phenotype
EQ|PO_0025172|PATO_0002310	FLOPO_0989221	thorn robust	EQ|PO_0025172|PATO_0002310	phenotype
EQ|PO_0025172|PATO_0104016	FLOPO_0989222	thorn terete	EQ|PO_0025172|PATO_0104016	phenotype
EQ|PO_0025174|PATO_0001419	FLOPO_0989223	spine stipule sharp	EQ|PO_0025174|PATO_0001419	phenotype
