id	label	synonyms	slim
PATO_0000963	opaque	clouding|cloudy|non-transparent	mpath_slim|value_slim
PATO_0000964	transparent	clear	mpath_slim|value_slim
PATO_0000965	symmetry		attribute_slim
PATO_0000967	undulate	rippled|sinuate|undulated|undulating|waved|wavy	mpath_slim|value_slim
PATO_0000969	dwarf-like	dwarfed	value_slim
PATO_0000970	permeability		attribute_slim|disposition_slim|scalar_slim
PATO_0000973	porosity		attribute_slim|disposition_slim|scalar_slim
PATO_0000982	permeable	porous	disposition_slim|value_slim
PATO_0000983	impermeable		disposition_slim|value_slim
PATO_0000984	porous		disposition_slim|value_slim
PATO_0000985	non-porous		disposition_slim|value_slim
PATO_0000992	viscosity		attribute_slim|disposition_slim
PATO_0000998	viscous		disposition_slim|mpath_slim|value_slim
PATO_0000999	alternation		value_slim
PATO_0001005	latency		attribute_slim
PATO_0001018	physical quality	relational physical quality	attribute_slim
PATO_0001019	mass density	density	attribute_slim|scalar_slim
PATO_0001020	damage		attribute_slim
PATO_0001021	energy		attribute_slim|scalar_slim
PATO_0001022	impulse		attribute_slim|scalar_slim
PATO_0001023	momentum		attribute_slim|scalar_slim
PATO_0001024	power		attribute_slim
PATO_0001025	pressure		attribute_slim
PATO_0001026	work	W	attribute_slim
PATO_0001028	acceleration		attribute_slim|scalar_slim
PATO_0001029	efficiency		attribute_slim
PATO_0001030	flux		attribute_slim|scalar_slim
PATO_0001031	elasticity		attribute_slim|disposition_slim|scalar_slim
PATO_0001034	strain		attribute_slim
PATO_0001035	force	force amplitude	attribute_slim|scalar_slim
PATO_0001043	susceptibility toward	susceptibility	attribute_slim|disposition_slim|relational_slim
PATO_0001046	resistance to	resistance	attribute_slim|disposition_slim|relational_slim|scalar_slim
PATO_0001051	acute angle to		relational_slim|value_slim
PATO_0001052	obtuse angle to		relational_slim|value_slim
PATO_0001053	convex angle to		relational_slim|value_slim
PATO_0001054	internal angle		relational_slim|value_slim
PATO_0001055	reflex angle to		relational_slim|value_slim
PATO_0001152	susceptible toward	susceptible	disposition_slim|relational_slim|value_slim
PATO_0001153	insusceptible toward	insusceptible	disposition_slim|relational_slim|value_slim
PATO_0001154	elongated		value_slim
PATO_0001159	concentrated		relational_slim|value_slim
PATO_0001161	diluted		relational_slim|value_slim
PATO_0001162	increased concentration	high concentration	relational_slim|value_slim
PATO_0001163	decreased concentration	low concentration	relational_slim|value_slim
PATO_0001164	dense		mpath_slim|value_slim
PATO_0001167	damaged		value_slim
PATO_0001168	undamaged		value_slim
PATO_0001171	elastic		disposition_slim|mpath_slim|value_slim
PATO_0001172	inelastic		disposition_slim|mpath_slim|value_slim
PATO_0001178	resistant to	resistant	disposition_slim|relational_slim|value_slim
PATO_0001185	larval		value_slim
PATO_0001186	prepubescent		value_slim
PATO_0001187	pupal		value_slim
PATO_0001188	prepupal		value_slim
PATO_0001189	adolescent		mpath_slim|value_slim
PATO_0001190	juvenile		mpath_slim|value_slim
PATO_0001191	medial to		mpath_slim|relational_slim|value_slim
PATO_0001192	hyperresponsive to	hyperresponsive|increased responsivity	disposition_slim|relational_slim|value_slim
PATO_0001193	lateral to	lateral	mpath_slim|relational_slim|value_slim
PATO_0001194	hyporesponsive to	decreased responsivity|hyporesponsive	disposition_slim|relational_slim|value_slim
PATO_0001195	proximal to		mpath_slim|relational_slim|value_slim
PATO_0001196	ventral to	anterior_ to	mpath_slim|relational_slim|value_slim
PATO_0001199	linear		mpath_slim|value_slim
PATO_0001200	T-shaped		value_slim
PATO_0001201	Y-shaped		value_slim
PATO_0001205	dentated	dentate|toothed	mpath_slim|value_slim
PATO_0001206	serrated	serrate	mpath_slim|value_slim
PATO_0001208	odorless		value_slim
PATO_0001227	variant	variable	relational_slim|value_slim
PATO_0001229	high saturation	bright |vivid	value_slim
PATO_0001230	strength		attribute_slim|scalar_slim
PATO_0001233	dorsal to	dorsal|posterior_to (human torso)|superior_to (human head)	relational_slim|value_slim
PATO_0001234	distal to	distal	mpath_slim|relational_slim|value_slim
PATO_0001236	process quality	quality of a process|quality of occurrent|quality of process|relational quality of occurrent	
PATO_0001241	physical object quality	monadic quality of a continuant|monadic quality of an object|monadic quality of continuant|multiply inhering quality of a physical entity |quality of a continuant|quality of a single physical entity|quality of an object|quality of continuant	
PATO_0001242	wavelength		attribute_slim|scalar_slim
PATO_0001243	light blue		mpath_slim|value_slim
PATO_0001244	dark blue		mpath_slim|value_slim
PATO_0001245	dark brown		mpath_slim|value_slim
PATO_0001246	light brown		mpath_slim|value_slim
PATO_0001247	light cyan		value_slim
PATO_0001248	dark cyan		value_slim
PATO_0001249	dark green		mpath_slim|value_slim
PATO_0001250	light green		mpath_slim|value_slim
PATO_0001251	dark grey		mpath_slim|value_slim
PATO_0001252	light grey		mpath_slim|value_slim
PATO_0001253	light magenta		mpath_slim|value_slim
PATO_0001254	dark magenta		mpath_slim|value_slim
PATO_0001255	light orange		mpath_slim|value_slim
PATO_0001256	dark orange		mpath_slim|value_slim
PATO_0001257	light deep pink		mpath_slim|value_slim
PATO_0001258	deep pink		mpath_slim|value_slim
PATO_0001259	dark purple		mpath_slim|value_slim
PATO_0001260	light purple		mpath_slim|value_slim
PATO_0001261	dark red		mpath_slim|value_slim
PATO_0001262	light red		mpath_slim|value_slim
PATO_0001263	dark yellow		mpath_slim|value_slim
PATO_0001264	light yellow	blond	mpath_slim|value_slim
PATO_0001265	saturated blue	bright blue	mpath_slim|value_slim
