id	label	synonyms	namespace
PO_0030021	gametophore branch	caulid branch|cauloid branch|non-vascular branch	plant_anatomy
PO_0030022	gametophore stem	caulid stem|cauloid stem|non-vascular stem	plant_anatomy
PO_0030023	gametophore axis meristematic apical cell	cauloid apical cell|gametophore axis apical cell|gametophore axis apical initial|non-vascular shoot axis apical cell	plant_anatomy
PO_0030024	vascular shoot axis meristematic apical cell	fern shoot axis apical cell|vascular shoot axis apical cell|vascular shoot axis apical initial	plant_anatomy
PO_0030025	thallus meristematic apical cell	thallus apical cell|thallus apical initial	plant_anatomy
PO_0030026	gametophore bud	brown bud	plant_anatomy
PO_0030027	thallus	prothallium|thalli	plant_anatomy
PO_0030028	perigonial bract	perigonium bract	plant_anatomy
PO_0030029	sporophyte foot		plant_anatomy
PO_0030030	perichaetal bract	perichaetum bract	plant_anatomy
PO_0030031	gametophyte perianth	gametophytic perianth	plant_anatomy
PO_0030032	seta	setae	plant_anatomy
PO_0030033	antheridiophore		plant_anatomy
PO_0030034	archegoniophore		plant_anatomy
PO_0030035	antheridium stalk	antheridial stalk	plant_anatomy
PO_0030036	archegonium stalk	archegonial stalk	plant_anatomy
PO_0030037	spore capsule calyptra	spore capsule calyptrae	plant_anatomy
PO_0030038	venter		plant_anatomy
PO_0030039	archegonium neck	archegonial neck	plant_anatomy
PO_0030040	sporangium base	apophysis|hypophysis|sporangium neck	plant_anatomy
PO_0030041	sporangium theca	sporangium urn	plant_anatomy
PO_0030042	peristome		plant_anatomy
PO_0030043	peristome tooth		plant_anatomy
PO_0030044	spore capsule operculum	sporangium lid|spore capsule lid|spore capsule opercula	plant_anatomy
PO_0030045	stereid	stereid cell	plant_anatomy
PO_0030046	protonema meristematic apical cell	protonema apical cell|protonema apical initial	plant_anatomy
PO_0030047	hydrome	hydrom|leptoxylem	plant_anatomy
PO_0030048	leptome	leptom|leptophloem	plant_anatomy
PO_0030049	sporangium wall endothecium	endothecium of sporangium wall	plant_anatomy
PO_0030050	stereome		plant_anatomy
PO_0030051	central strand	conducting cylinder|conducting strand	plant_anatomy
PO_0030052	antheridium jacket layer cell	antheridium wall cell|jacket cell|sterile jacket cell	plant_anatomy
PO_0030053	antheridium jacket layer	antheridial jacket layer|antheridium wall|sterile jacket layer	plant_anatomy
PO_0030054	epiphragm	epiphram|tympanum	plant_anatomy
PO_0030055	pseudopodium	pseudopodia	plant_anatomy
PO_0030056	archesporial cell	archesporial initial|sporogenous cell	plant_anatomy
PO_0030057	alar cell		plant_anatomy
PO_0030058	brachycyte	brood cell	plant_anatomy
PO_0030059	tmema cell	brachytmema cell|dlichotmema cell	plant_anatomy
PO_0030060	gametophore axillary hair	club hair	plant_anatomy
PO_0030061	tmema		plant_anatomy
PO_0030062	gametophore axillary hair terminal cell		plant_anatomy
PO_0030063	gametophore axillary hair base		plant_anatomy
PO_0030064	gametophore axillary hair basal cell	gametophore axillary hair base cell	plant_anatomy
PO_0030065	archegonium neck canal cell	archegonial neck canal cell	plant_anatomy
PO_0030066	archegonium neck canal	archegonial neck canal	plant_anatomy
PO_0030067	protonema side branch initial cell	protonema side branch initial|protonemal side branch initial cell	plant_anatomy
PO_0030068	epidermal rhizoid initial cell	epidermal rhizoid initial	plant_anatomy
PO_0030069	paraphyllium	paraphyllia	plant_anatomy
PO_0030070	paraphysis	paraphyses	plant_anatomy
PO_0030071	epidermal rhizoid		plant_anatomy
PO_0030072	costa	costae|mid rib|midrib|non-vascular leaf midrib|non-vascular leaf midvein|non-vascular leaflet midrib|phyllid costa|phyllid midrib|phyllid midvein	plant_anatomy
PO_0030073	exothecium	epithecium|sporangium epidermis|sporangium wall exothecium	plant_anatomy
PO_0030074	archesporium	sporogenous tissue	plant_anatomy
PO_0030075	antheridium head	antheridial head	plant_anatomy
PO_0030076	archegonium head	archegonial head	plant_anatomy
PO_0030077	protonemal side branch rhizoid initial cell	protonema side branch rhizoid initial|protonemal side branch rhizoid initial	plant_anatomy
PO_0030078	rhizoid		plant_anatomy
PO_0030079	protonemal rhizoid		plant_anatomy
PO_0030080	rhizoid meristematic apical cell	rhizoid apical cell|rhizoid apical initial	plant_anatomy
PO_0030081	caulonema meristematic apical cell	caulonema apical cell|caulonema apical initial	plant_anatomy
PO_0030082	chloronema meristematic apical cell	chloronema apical cell|chloronema apical initial	plant_anatomy
PO_0030083	gametophore bud initial cell	gametophore bud initial	plant_anatomy
PO_0030084	amphithecium		plant_anatomy
PO_0030085	protosporangium endothecium	endothecium of protosporangium	plant_anatomy
PO_0030086	protonema sub-apical initial cell	protonema sub-apical initial|protonemal sub-apical initial cell	plant_anatomy
PO_0030087	non-vascular leaf initial cell	non-vascular leaf initial	plant_anatomy
PO_0030088	lateral root spine		plant_anatomy
PO_0030089	shoot-borne root spine		plant_anatomy
PO_0030090	root periderm scar		plant_anatomy
PO_0030091	capsule fruit	capsule|dehiscent fruit|indehiscent fruit	plant_anatomy
PO_0030092	loculicidal capsule fruit	dehiscent fruit|loculicidal capsule	plant_anatomy
PO_0030093	septicidal capsule fruit	dehiscent fruit|septicidal capsule|septifragal capsule	plant_anatomy
PO_0030094	coccarium capsule fruit	coccarium|dehiscent fruit	plant_anatomy
PO_0030095	poricidal capsule fruit	dehiscent fruit|poricidal capsule	plant_anatomy
PO_0030096	circumscissile capsule fruit	circumscissile capsule|dehiscent fruit|diplotegia|pyxidium|pyxis	plant_anatomy
PO_0030097	utricle capsule fruit	dehiscent fruit|utricle	plant_anatomy
PO_0030098	schizocarp fruit	indehiscent fruit|pyrine|schizocarp	plant_anatomy
PO_0030099	samara fruit	indehiscent fruit|samara	plant_anatomy
PO_0030100	legume fruit	dehiscent fruit|legume|pod	plant_anatomy
PO_0030101	loment fruit	indehiscent fruit|loment|lomentum	plant_anatomy
PO_0030102	nut fruit	acorn|glandes|glans|indehiscent fruit|nut|nutlet	plant_anatomy
PO_0030103	drupe fruit	drupe|indehiscent fruit|stone fruit	plant_anatomy
PO_0030104	caryopsis fruit	brown rice|caryopsides|caryopsis|cereal|dehulled grain|dehulled kernel|grain|indehiscent fruit|kernel|polished rice	plant_anatomy
PO_0030105	follicle fruit	dehiscent fruit|folliceta|follicle|pod	plant_anatomy
PO_0030106	silique fruit	dehiscent fruit|silicle|silicula|siliqua|silique	plant_anatomy
PO_0030107	achene fruit	achene|akene|indehiscent fruit	plant_anatomy
PO_0030108	berry fruit	bacca|baya|berry|indehiscent fruit|pyrine	plant_anatomy
PO_0030109	hesperidium fruit	citrus fruit|hesperidium|indehiscent fruit|panzerbeere	plant_anatomy
PO_0030110	pome fruit	indehiscent fruit|pome	plant_anatomy
PO_0030111	pepo fruit	indehiscent fruit|panzerbeere (broad, German)|pepo	plant_anatomy
PO_0030112	pedicel	pedicelo	plant_anatomy
PO_0030113	flower pedicel	pedicelo	plant_anatomy
PO_0030114	fruit pedicel	pedicelo del fruto	plant_anatomy
PO_0030115	raceme inflorescence	raceme	plant_anatomy
PO_0030116	compound raceme inflorescence	compound raceme|double raceme|heterothetic compound raceme|heterothetic double raceme|homothetic compound raceme|homothetic double raceme	plant_anatomy
PO_0030117	spike inflorescence	spike|stachyoid	plant_anatomy
PO_0030118	compound spike inflorescence	compound spike|double spike|heterothetic compound spike|heterothetic double spike|homothetic compound spike|homothetic double spike	plant_anatomy
PO_0030119	catkin inflorescence	ament|catkin	plant_anatomy
PO_0030120	spadix inflorescence	spadices|spadix	plant_anatomy
PO_0030121	capitulum inflorescence	calathidium|capitula|capitulum|head|hypanthodium	plant_anatomy
PO_0030122	compound capitulum inflorescence	compound capitulum|double capitulum|glome|glomerule|heterothetic compound capitulum|heterothetic double capitulum|homothetic compound capitulum|homothetic double capitulum	plant_anatomy
PO_0030123	panicle inflorescence	panicle	plant_anatomy
PO_0030124	corymb inflorescence	compound corymb|corymb|double corymb|monochasium	plant_anatomy
PO_0030125	anthela inflorescence	anthela|anthelae|monochasium	plant_anatomy
PO_0030126	cyme inflorescence	cyathia|cyathium|cyme|cymule|dichasium|pleiochasium|polychasium|verticillaster	plant_anatomy
PO_0030127	indeterminate thyrse inflorescence	conjunct-hetercladic thyrse|dichasium|diplothyrsoid|disjunct-heterocladic thyrse|double thyrsoid|heterocladic thyrse|indeterminate thyrse|monothyrsic inflorescence|pleiothyrsoid|thyrse	plant_anatomy
PO_0030128	determinate thyrse inflorescence	determinate thyrse|dichasium|thyrse|thyrsoid	plant_anatomy
PO_0030129	umbel inflorescence	umbel	plant_anatomy
PO_0030130	compound umbel inflorescence	compound umbel|double umbel|heterothetic compound umbel|heterothetic double umbel|homothetic compound umbel|homothetic double umbel	plant_anatomy
PO_0030131	rhipidium inflorescence	monochasium|rhipidia|rhipidium	plant_anatomy
PO_0030132	cincinnus inflorescence	boragoid|cincinni|cincinnus|congenital cincinnus|homaxone|monochasium|scorpioid	plant_anatomy
PO_0030133	compound cincinnus inflorescence	compound cincinnus|dichasium|double cincinnus	plant_anatomy
PO_0030134	bostryx inflorescence	bostryches|bostryx|helicoid cyme|monochasium	plant_anatomy
PO_0030135	drepanium inflorescence	drepanium|monochasium|scorpioid	plant_anatomy
PO_0030136	compound drepanium inflorescence	dichasium|drepanium|helicoid|scorpioid	plant_anatomy
