term_id	surface_form	normalized_form	language	semantic_role	category	organ_context	definition	source_id	source_record_id	source_version	source_url	license	translation_group	target_id	target_label	target_namespace	mapping_relation	mapping_confidence	mapping_method	review_status	curator_orcid	mapping_date	component_ids	logical_operator	attribute_id	candidate_ids	candidate_labels	candidate_scores	corpus_frequency	evidence	notes
BTERM:fna_categories:3a65a90b99a0f8	samaralike	samaralike	en	quality	architecture			fna_categories	a274a2ea-efdc-11e2-b45f-0026b9326338	2013-07-29		not recorded					flopo:unmapped	0.2913	hybrid_candidate_retrieval	proposed						PATO_0002482|PATO_0002235|PATO_0002459|PATO_0002520|PATO_0001873|PATO_0001947|PATO_0002210|PATO_0002219|PATO_0002227|PATO_0002458	slit-like|blade-like|sepal-like|scute-like|cylindrical|netted|bulbous|fan-shaped|cup-shaped|pin-like	0.2913|0.2833|0.2833|0.2833|0.2600|0.2600|0.2600|0.2600|0.2600|0.2600	0		
BTERM:fna_categories:3a6d6082016296	compact	compact	en	quality	arrangement			fna_categories	a2f2d8d6-efdc-11e2-b45f-0026b9326338	2013-07-29		not recorded		PATO_0001485	condensed	PATO	skos:narrowMatch	0.85	ontology_scoped_synonym_proposal	proposed						PATO_0001485	condensed	0.8500	6		
BTERM:fna_categories:3a95e523c2a43c	small-toothed	small toothed	en	quality	shape			fna_categories	899d62bb-d826-4df1-8d7a-2adcb4a8cd48	2013-07-29		not recorded					flopo:unmapped	0.539	hybrid_candidate_retrieval	proposed						PATO_0001205|PATO_0000596|PATO_0000587|PATO_0001562|PATO_0000701|PATO_0001667	dentated|decreased volume|decreased size|decreased mass|smooth|attached to	0.5390|0.4821|0.4760|0.4648|0.2530|0.2056	0		
BTERM:fna_categories:3aa00d91812017	rib	rib	en	entity	structure			fna_categories	26c78fc3-fea7-40cd-a352-80ed8724d4aa	2013-07-29		not recorded					flopo:unmapped	0.5031	hybrid_candidate_retrieval	proposed						PO_0020139|PO_0000226|PO_0030072	leaf midvein|rib zone|costa	0.5031|0.4062|0.3845	0		
BTERM:fna_categories:3aa3f018d3c92d	exsertion	exsertion	en	ambiguous	behaviour			fna_categories	a2add894-efdc-11e2-b45f-0026b9326338	2013-07-29		not recorded					flopo:unmapped	0.3514	hybrid_candidate_retrieval	proposed						PATO_0000623|PATO_0001687|PATO_0001976|PATO_0002207|PO_0009085|PO_0006050|PO_0005679	exserted|elevation|serration|insertion depth|exocarp|exotesta|epidermis	0.3514|0.3000|0.3000|0.2571|0.1880|0.1838|0.1660	0		
BTERM:fna_categories:3ac797daea27ee	bossed	bossed	en	quality	shape			fna_categories	5bd4862a-d835-4b78-865c-4a1efeb28ccd	2013-07-29		not recorded					flopo:unmapped	0.276	hybrid_candidate_retrieval	proposed						PATO_0001485|PATO_0002254|PATO_0002054|PATO_0002252	condensed|flattened|laterally compressed|antero-posteriorly flattened	0.2760|0.2760|0.2173|0.1926	0		
BTERM:fna_categories:3acbec48fffe4f	saccate	saccate	en	quality	architecture			fna_categories	c4befe57-259e-40cd-907c-176b3817de70	2013-07-29		not recorded					flopo:unmapped	0.2956	hybrid_candidate_retrieval	proposed						PATO_0001206|PATO_0002215|PATO_0000936|PATO_0001987|PATO_0002065|PATO_0001937|PATO_0001890|PATO_0002294|PATO_0001889|PATO_0001265	serrated|falciform|truncated|saccular|star shaped|spatulate|tripartite|scrobiculate|scalloped|saturated blue	0.2956|0.2956|0.2853|0.2853|0.2853|0.2760|0.2676|0.2530|0.2467|0.2408	0		
BTERM:fna_categories:3ad4aa2bbf9fd8	distorted	distorted	en	quality	shape			fna_categories	a2235aac-efdc-11e2-b45f-0026b9326338	2013-07-29		not recorded		PATO_0001617	deformed	PATO	skos:relatedMatch	0.85	ontology_scoped_synonym_proposal	proposed						PATO_0001617	deformed	0.8500	0		
BTERM:fna_categories:3ad9bb2cf65c5c	berrylike	berrylike	en	quality	shape			fna_categories	a2ed1748-efdc-11e2-b45f-0026b9326338	2013-07-29		not recorded					flopo:unmapped	0.3095	hybrid_candidate_retrieval	proposed						PATO_0002210|PATO_0002235|PATO_0001873|PATO_0001947|PATO_0002219|PATO_0002227|PATO_0002458|PATO_0002467|PATO_0002253|PATO_0002299	bulbous|blade-like|cylindrical|netted|fan-shaped|cup-shaped|pin-like|lathlike|platelike|tubular	0.3095|0.2913|0.2676|0.2676|0.2676|0.2676|0.2676|0.2676|0.2600|0.2600	0		
BTERM:fna_categories:3b1dcaff0b14ac	lemon	lemon	en	quality	coloration			fna_categories	ce392765-5235-4bb8-9637-a115e7a71429	2013-07-29		not recorded					flopo:unmapped	0.5095	hybrid_candidate_retrieval	proposed						PATO_0002345	lemon-shaped	0.5095	4		
