flopo_iri	flopo_num	label	signature	deprecated
http://purl.obolibrary.org/obo/FLOPO_0021447	21447	sapwood magenta	EQ|PO_0004513|PATO_0000321	0
http://purl.obolibrary.org/obo/FLOPO_0021448	21448	canal split	EQ|PO_0025132|PATO_0001786	0
http://purl.obolibrary.org/obo/FLOPO_0021449	21449	branch hermaphrodite	OTHER	1
http://purl.obolibrary.org/obo/FLOPO_0021450	21450	infructescence convex	EQ|PO_0006342|PATO_0001355	0
http://purl.obolibrary.org/obo/FLOPO_0021451	21451	infructescence concavity	EQ|PO_0006342|PATO_0002005	0
http://purl.obolibrary.org/obo/FLOPO_0021452	21452	leaf rachis oblanceolate	EQ|PO_0020055|PATO_0002330	0
http://purl.obolibrary.org/obo/FLOPO_0021453	21453	leaf rachis shape	EQ|PO_0020055|PATO_0000052	0
http://purl.obolibrary.org/obo/FLOPO_0021454	21454	receptacle separated from	EQ|PO_0009064|PATO_0001505	0
http://purl.obolibrary.org/obo/FLOPO_0021455	21455	pappus recurved	EQ|PO_0025393|PATO_0002211	0
http://purl.obolibrary.org/obo/FLOPO_0021456	21456	obsolete petiole margin pubescent	OTHER	1
http://purl.obolibrary.org/obo/FLOPO_0021457	21457	petiole margin maturity	EQ|PO_0025010|PATO_0000261	0
http://purl.obolibrary.org/obo/FLOPO_0021458	21458	anther in contact with	EQ|PO_0009066|PATO_0001961	0
http://purl.obolibrary.org/obo/FLOPO_0021459	21459	keel magenta	EQ|PO_0025327|PATO_0000321	0
http://purl.obolibrary.org/obo/FLOPO_0021460	21460	keel protruding into	EQ|PO_0025327|PATO_0001645	0
http://purl.obolibrary.org/obo/FLOPO_0021461	21461	leaflet blue	EQ|PO_0020049|PATO_0000318	0
http://purl.obolibrary.org/obo/FLOPO_0021462	21462	phloem white	EQ|PO_0005417|PATO_0000323	0
http://purl.obolibrary.org/obo/FLOPO_0021463	21463	androecium attached to	EQ|PO_0009061|PATO_0001667	0
http://purl.obolibrary.org/obo/FLOPO_0021464	21464	androecium attachment quality	EQ|PO_0009061|PATO_0001435	0
http://purl.obolibrary.org/obo/FLOPO_0021465	21465	inflorescence flush	EQ|PO_0009049|PATO_0002518	0
http://purl.obolibrary.org/obo/FLOPO_0021466	21466	inflorescence axis unbranched	EQ|PO_0020122|PATO_0000414	0
http://purl.obolibrary.org/obo/FLOPO_0021467	21467	bud adaxial to	EQ|PO_0000055|PATO_0002047	0
http://purl.obolibrary.org/obo/FLOPO_0021468	21468	stem lilac	EQ|PO_0009047|PATO_0001943	0
http://purl.obolibrary.org/obo/FLOPO_0021469	21469	calyx yellow brown	EQ|PO_0009060|PATO_0002411	0
http://purl.obolibrary.org/obo/FLOPO_0021470	21470	stolon orbicular	EQ|PO_0003024|PATO_0001934	0
http://purl.obolibrary.org/obo/FLOPO_0021471	21471	stamen emarginate	EQ|PO_0009029|PATO_0002234	0
http://purl.obolibrary.org/obo/FLOPO_0021472	21472	receptacle distance	EQ|PO_0009064|PATO_0000040	0
http://purl.obolibrary.org/obo/FLOPO_0021473	21473	ovule primordium orbicular	EQ|PO_0000018|PATO_0001934	0
http://purl.obolibrary.org/obo/FLOPO_0021474	21474	glume alternate placement	EQ|PO_0009039|PATO_0001932	0
