flopo_iri	label
http://purl.obolibrary.org/obo/FLOPO_0014247	corolla premature
http://purl.obolibrary.org/obo/FLOPO_0012611	corolla subacute
http://purl.obolibrary.org/obo/FLOPO_0004695	corolla up
http://purl.obolibrary.org/obo/FLOPO_0022406	cortex up
http://purl.obolibrary.org/obo/FLOPO_0002902	costa acute
http://purl.obolibrary.org/obo/FLOPO_0016864	costa continuous
http://purl.obolibrary.org/obo/FLOPO_0002903	costa duration
http://purl.obolibrary.org/obo/FLOPO_0016663	costa occurrence
http://purl.obolibrary.org/obo/FLOPO_0016662	costa recurrent
http://purl.obolibrary.org/obo/FLOPO_0021748	costa subacute
http://purl.obolibrary.org/obo/FLOPO_0007454	costa up
http://purl.obolibrary.org/obo/FLOPO_0006938	cotyledon onset quality
http://purl.obolibrary.org/obo/FLOPO_0006937	cotyledon premature
http://purl.obolibrary.org/obo/FLOPO_0006502	crown root hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0017932	crown root male
http://purl.obolibrary.org/obo/FLOPO_0006503	crown root phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0009498	disk flower arrested
http://purl.obolibrary.org/obo/FLOPO_0008486	disk flower distributed
http://purl.obolibrary.org/obo/FLOPO_0000808	disk flower female
http://purl.obolibrary.org/obo/FLOPO_0011082	disk flower hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0009889	disk flower male
http://purl.obolibrary.org/obo/FLOPO_0009499	disk flower offset quality
http://purl.obolibrary.org/obo/FLOPO_0021653	disk flower onset quality
http://purl.obolibrary.org/obo/FLOPO_0000809	disk flower phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0021652	disk flower premature
http://purl.obolibrary.org/obo/FLOPO_0013764	endocarp acute
http://purl.obolibrary.org/obo/FLOPO_0017666	endocarp arrested
http://purl.obolibrary.org/obo/FLOPO_0013765	endocarp duration
http://purl.obolibrary.org/obo/FLOPO_0017667	endocarp offset quality
http://purl.obolibrary.org/obo/FLOPO_0001230	endocarp up
http://purl.obolibrary.org/obo/FLOPO_0015315	epicalyx acute
http://purl.obolibrary.org/obo/FLOPO_0015316	epicalyx duration
http://purl.obolibrary.org/obo/FLOPO_0017360	epicalyx hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0017361	epicalyx phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0020001	epicalyx up
http://purl.obolibrary.org/obo/FLOPO_0006472	epidermis continuous
http://purl.obolibrary.org/obo/FLOPO_0013706	epidermis duration
http://purl.obolibrary.org/obo/FLOPO_0017973	epidermis female
http://purl.obolibrary.org/obo/FLOPO_0006473	epidermis occurrence
http://purl.obolibrary.org/obo/FLOPO_0017974	epidermis phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0013705	epidermis subacute
http://purl.obolibrary.org/obo/FLOPO_0009405	epidermis up
http://purl.obolibrary.org/obo/FLOPO_0017766	exocarp up
http://purl.obolibrary.org/obo/FLOPO_0023199	fertile lemma acute
http://purl.obolibrary.org/obo/FLOPO_0023200	fertile lemma duration
http://purl.obolibrary.org/obo/FLOPO_0011826	fertile lemma up
http://purl.obolibrary.org/obo/FLOPO_0004109	filament acute
http://purl.obolibrary.org/obo/FLOPO_0008950	filament continuous
http://purl.obolibrary.org/obo/FLOPO_0004110	filament duration
http://purl.obolibrary.org/obo/FLOPO_0012826	filament female
http://purl.obolibrary.org/obo/FLOPO_0023175	filament hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0002522	filament male
http://purl.obolibrary.org/obo/FLOPO_0008951	filament occurrence
http://purl.obolibrary.org/obo/FLOPO_0008191	filament onset quality
http://purl.obolibrary.org/obo/FLOPO_0002523	filament phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0008190	filament premature
http://purl.obolibrary.org/obo/FLOPO_0007836	filament up
http://purl.obolibrary.org/obo/FLOPO_0010393	flower acute
http://purl.obolibrary.org/obo/FLOPO_0012685	flower arrested
http://purl.obolibrary.org/obo/FLOPO_0021626	flower bud female
http://purl.obolibrary.org/obo/FLOPO_0021627	flower bud phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0022304	flower bud up
http://purl.obolibrary.org/obo/FLOPO_0015546	flower distributed
http://purl.obolibrary.org/obo/FLOPO_0020597	flower down
http://purl.obolibrary.org/obo/FLOPO_0010394	flower duration
http://purl.obolibrary.org/obo/FLOPO_0001110	flower fascicle female
http://purl.obolibrary.org/obo/FLOPO_0005473	flower fascicle hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0010767	flower fascicle male
