#Version: 0.1
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo)
#Finalized by: Dr. Hong Cui
#Date: 7/29/2013
#Reviewers: Heather Cole,Dr. Hong Cui,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"barbellate","architecture","0","fna_gloss_final_20130517","73c0f76a-e74f-4b99-8adc-ea7dcc06dede"
"barbellulate","architecture","0","fna_gloss_final_20130517","e1ff1c9f-1220-4862-92db-6dee8abc10d9"
"bare","external texture","0","fna_gloss_final_20130517","206438d7-d88e-4f79-a9eb-0f26c5ea032c"
"barklike","external texture","0","fna_gloss_final_20130517","a2013df0-efdc-11e2-b45f-0026b9326338"
"basal","position","0","fna_gloss_final_20130517","b5167c18-657c-46b0-b36e-00c8cf5d79db"
"basalmost","position","0","fna_gloss_final_20130517","a20172a2-efdc-11e2-b45f-0026b9326338"
"basicauliramous","architecture","0","fna_gloss_final_20130517","ee0f12b8-ec2c-4b03-a59e-65884528966a"
"basicaulous","position","0","fna_gloss_final_20130517","c009cf35-9f16-46ed-8f2c-070bcd104204"
"basifixed","fixation","0","fna_gloss_final_20130517","8bb24168-cd41-4d9e-a39e-2af7982a2769"
"basiramous","architecture","0","fna_gloss_final_20130517","3c60aaf1-ede3-4de2-9f49-9a77ab50ce78"
