#Version: 0.1
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo)
#Finalized by: Dr. Hong Cui
#Date: 7/29/2013
#Reviewers: Heather Cole,Dr. Hong Cui,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"astomatiferous","architecture","0","fna_gloss_final_20130517","3fc73a0e-8894-41ee-bb68-660e58dc225e"
"asymmetric","architecture","0","fna_gloss_final_20130517","3a2536b7-f9db-4d68-bb02-17328eb8e747"
"asymmetrical","architecture","0","fna_gloss_final_20130517","8271aef6-8610-46a5-8eb2-2fda8ea3e577"
"atropous","orientation","0","fna_gloss_final_20130517","a913faa0-5ff4-4cfb-9c64-fd0e3a0260ac"
"attached","fixation","0","fna_gloss_final_20130517","42c75261-0e32-425c-97b3-0d0f45385933"
"attentuate","shape","0","fna_gloss_final_20130517","bf16e189-fbdc-49bb-964d-b43ffc0181c5"
"attenuate","shape","0","fna_gloss_final_20130517","ff781b74-3d05-48a2-be1b-e84b2c90e1ad"
"auriculate","shape","0","fna_gloss_final_20130517","52718fa2-6792-4e80-b6de-f00baccba914"
"auriform","shape","0","fna_gloss_final_20130517","75e7f90b-e196-46c0-a58d-babac89c90de"
"autogamous","reproduction","0","fna_gloss_final_20130517","e4218a94-0f2e-4bc2-8c68-2ef690aa176f"
"automictic","reproduction","0","fna_gloss_final_20130517","37df73a4-b1bc-4afd-b9bf-45ead89c612a"
"autotrophic","nutrition","0","fna_gloss_final_20130517","0119b66f-55c3-4820-a510-b0baf35ed166"
"autumnal","life_style","0","fna_gloss_final_20130517","eb7fa669-1466-4c3f-b4e3-e655f60913cf"
"awl-shaped","shape","0","fna_gloss_final_20130517","4ff987c3-437f-4cc1-af87-9e82f86f4a32"
"awned","shape","0","fna_gloss_final_20130517","a972dd13-6a67-44ba-84c7-471800579af7"
"axe-shaped","shape","0","fna_gloss_final_20130517","e64f44aa-5d06-44a0-b661-d29c9617525e"
"axehead-shaped","shape","0","fna_gloss_final_20130517","046e8bfb-d1a1-43a9-a1c6-523b75d453b5"
"axillary","position","0","fna_gloss_final_20130517","d68e9b2f-2e6a-4884-bad4-8e4c7fd595f2"
"baccate","architecture","0","fna_gloss_final_20130517","0b53f7a0-bd05-46a9-9668-13475c730c1c"
"bag-shaped","shape","0","fna_gloss_final_20130517","10506bf7-f326-45af-a194-2b6392470f0e"
"bald","external texture","0","fna_gloss_final_20130517","538c1041-c8c5-43d0-a1f9-5453b24bd238"
"balding","external texture","0","fna_gloss_final_20130517","fccac2b7-3c6a-433d-a1ca-37e063a85bfa"
"ternate","architecture","0","fna_gloss_final_20130517","c1cfc922-3f92-477b-8586-0b16c17cb7cb"
"barbate","external texture","0","fna_gloss_final_20130517","2a10dea3-5a6c-4ba1-81a8-3468fb7968e6"
"barbed","architecture","0","fna_gloss_final_20130517","46c8bcb4-b02a-4ad3-b736-c146d9ed07d4"
