# curie_map:
#   BTERM: https://w3id.org/flopo/botanical-term/
#   PO: http://purl.obolibrary.org/obo/PO_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   FLOPO: http://purl.obolibrary.org/obo/FLOPO_
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	confidence	mapping_tool	mapping_source	comment
BTERM:flopo_value_axioms:3026b005c604aa	small cylindrical succulent	skos:relatedMatch	PATO_0000587		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980404; axiom_type=components
BTERM:flopo_value_axioms:3026b005c604aa	small cylindrical succulent	skos:relatedMatch	PATO_0001873		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980404; axiom_type=components
BTERM:flopo_value_axioms:3026b005c604aa	small cylindrical succulent	skos:relatedMatch	PATO_0104019		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980404; axiom_type=components
BTERM:flopo_value_axioms:32a393829307ca	brownish	skos:exactMatch	FLOPO_0980130	brownish	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:34d74a15a6ee09	lilac or deep blue	skos:relatedMatch	PATO_0001943		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980207; axiom_type=union
BTERM:flopo_value_axioms:34d74a15a6ee09	lilac or deep blue	skos:relatedMatch	PATO_0104064		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980207; axiom_type=union
BTERM:flopo_value_axioms:49b27275683710	greenish	skos:exactMatch	FLOPO_0980085	greenish	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:56223c68512eb8	tubular creamy	skos:relatedMatch	PATO_0002299		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980345; axiom_type=components
BTERM:flopo_value_axioms:56223c68512eb8	tubular creamy	skos:relatedMatch	PATO_0104031		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980345; axiom_type=components
BTERM:flopo_value_axioms:5d8c542f815469	almost terete	skos:exactMatch	FLOPO_0980401	almost terete	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=related
BTERM:flopo_value_axioms:5dbb3de767f3cb	peeling papery	skos:exactMatch	FLOPO_0980188	peeling papery	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:7941b4501993dc	greenish yellow inside	skos:exactMatch	FLOPO_0980274	greenish yellow inside	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:8ab4f743f1d727	greyish	skos:exactMatch	FLOPO_0980089	greyish	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:8afd10323927cf	yellow and blue-green	skos:relatedMatch	PATO_0000324		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980389; axiom_type=components
BTERM:flopo_value_axioms:8afd10323927cf	yellow and blue-green	skos:relatedMatch	PATO_0104020		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980389; axiom_type=components
BTERM:flopo_value_axioms:8cf1480ba64b88	pale creamy	skos:exactMatch	FLOPO_0980248	pale creamy	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:943f697444674a	bluish	skos:exactMatch	FLOPO_0980112	bluish	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:9cd1293545fd8e	deep glowing orange	skos:exactMatch	FLOPO_0980227	deep glowing orange	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
