flopo_id	flopo_iri	label	definition	parent_pato_ids	parent_pato_labels	frequency	quality_contexts	examples	candidate_id	axiom_type	logical_target_ids	sources
FLOPO_0980141	http://purl.obolibrary.org/obo/FLOPO_0980141	white flushed pink	A composite botanical phenotype value denoting white flushed pink, used in flora descriptions; its component qualities are white, pink.	PATO_0000001	quality	2	flower color (2)	Acacia mellifera: white flowers flushed pink || Euphorbia granulata var. glabrata: white flowers flushed pink	FLOPO_VALUE_white_flushed_pink	components	PATO_0000323|PATO_0000954	""
FLOPO_0980143	http://purl.obolibrary.org/obo/FLOPO_0980143	almost circular	A botanical phenotype value denoting almost circular, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): circular.	PATO_0000411	circular	2	leaf shape (1)|fruit shape (1)	Aerva lanata: almost circular leaves || Farsetia aegyptia: flat, almost re circular, soft-hairy fruits	FLOPO_VALUE_almost_circular	subclass	PATO_0000411	""
FLOPO_0980144	http://purl.obolibrary.org/obo/FLOPO_0980144	pinkish fawn	A composite botanical phenotype value denoting pinkish fawn, used in flora descriptions; its component qualities are pink, brown, yellow.	PATO_0000001	quality	2	flower color (2)	Allium sindjarense: pinkish fawn flowers || Allium stamineum: pinkish fawn flowers	FLOPO_VALUE_pinkish_fawn	components	PATO_0000954|PATO_0000952|PATO_0000324	""
FLOPO_0980145	http://purl.obolibrary.org/obo/FLOPO_0980145	white flushed with pink	A composite botanical phenotype value denoting white flushed with pink, used in flora descriptions; its component qualities are white, pink.	PATO_0000001	quality	2	flower color (2)	Amygdalus arabica: white flowers flushed with pink || Biserrula pelecinus: white flowers flushed with pink	FLOPO_VALUE_white_flushed_with_pink	components	PATO_0000323|PATO_0000954	""
FLOPO_0980146	http://purl.obolibrary.org/obo/FLOPO_0980146	narrow dentate	A composite botanical phenotype value denoting narrow dentate, used in flora descriptions; its component qualities are decreased width, dentated.	PATO_0000001	quality	2	leaf shape (2)	Amygdalus arabica: narrow dentate leaves || Sida spinosa: narrow dentate leaves	FLOPO_VALUE_narrow_dentate	components	PATO_0000599|PATO_0001205	""
FLOPO_0980148	http://purl.obolibrary.org/obo/FLOPO_0980148	relatively large	A botanical phenotype value denoting relatively large, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): increased size.	PATO_0000586	increased size	2	leaf size (1)|fruit size (1)	Astragalus schimperi: relatively large coarse leaves || Duvalia velutina: relatively large soft-spiny fruits	FLOPO_VALUE_relatively_large	subclass	PATO_0000586	""
FLOPO_0980149	http://purl.obolibrary.org/obo/FLOPO_0980149	flat-sided	A botanical phenotype value denoting flat-sided, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): flat.	PATO_0000407	flat	2	fruit shape (2)	Avicennia marina: flat-sided mangoshaped fruits || Rhus tripartita: bright red, shiny, flat-sided fruits	FLOPO_VALUE_flat_sided	subclass	PATO_0000407	""
FLOPO_0980151	http://purl.obolibrary.org/obo/FLOPO_0980151	deep violet-blue	A composite botanical phenotype value denoting deep violet-blue, used in flora descriptions; its component qualities are blue, violet.	PATO_0000001	quality	2	flower color (2)	Campanula dulcis: deep violet-blue flowers || Campanula edulis: deep violet-blue flowers	FLOPO_VALUE_deep_violet_blue	components	PATO_0000318|PATO_0001424	""
FLOPO_0980152	http://purl.obolibrary.org/obo/FLOPO_0980152	pale blue-lilac	A composite botanical phenotype value denoting pale blue-lilac, used in flora descriptions; its component qualities are desaturated blue, lilac, blue.	PATO_0000001	quality	2	flower color (2)	Campanula dulcis: pale blue-lilac flowers || Lavandula dentata: pale blue-lilac flowers	FLOPO_VALUE_pale_blue_lilac	components	PATO_0001266|PATO_0001943|PATO_0000318	""
FLOPO_0980153	http://purl.obolibrary.org/obo/FLOPO_0980153	light scarlet	A botanical phenotype value denoting light scarlet, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): red.	PATO_0000322	red	2	flower color (2)	Capparis decidua: light scarlet flowers 3 cm wide || Indigofera oblongifolia: light scarlet flowers	FLOPO_VALUE_light_scarlet	subclass	PATO_0000322	""
FLOPO_0980154	http://purl.obolibrary.org/obo/FLOPO_0980154	mahogany-red	A botanical phenotype value denoting mahogany-red, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): red.	PATO_0000322	red	2	flower color (2)	Caralluma commutata: flat shallow mahogany-red flowers || Caralluma sp. aff. commutata: mahogany-red flowers	FLOPO_VALUE_mahogany_red	subclass	PATO_0000322	""
FLOPO_0980155	http://purl.obolibrary.org/obo/FLOPO_0980155	green and grey mottled	A composite botanical phenotype value denoting green and grey mottled, used in flora descriptions; its component qualities are green, grey, mottled.	PATO_0000001	quality	2	stem color (2)	Caralluma commutata: green and grey mottled stems || Caralluma sp. aff. commutata: green and grey mottled stems	FLOPO_VALUE_green_and_grey_mottled	components	PATO_0000320|PATO_0000950|PATO_0002274	""
FLOPO_0980157	http://purl.obolibrary.org/obo/FLOPO_0980157	narrow lobed	A composite botanical phenotype value denoting narrow lobed, used in flora descriptions; its component qualities are decreased width, lobed.	PATO_0000001	quality	2	leaf shape (2)	Centaurea ammocyanus: narrow lobed grey leaves || Hyoscyamus pusillus: with narrow lobed leaves	FLOPO_VALUE_narrow_lobed	components	PATO_0000599|PATO_0001979	""
FLOPO_0980158	http://purl.obolibrary.org/obo/FLOPO_0980158	spotted with crimson	A composite botanical phenotype value denoting spotted with crimson, used in flora descriptions; its component qualities are spotted, red.	PATO_0000001	quality	2	fruit color (1)|petal color (1)	Cienfuegosia welshii: also spotted with crimson || Cienfuegosia welshii: the petals spotted with crimson	FLOPO_VALUE_spotted_with_crimson	components	PATO_0000333|PATO_0000322	""
FLOPO_0980159	http://purl.obolibrary.org/obo/FLOPO_0980159	lemon-yellow	A botanical phenotype value denoting lemon-yellow, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): yellow.	PATO_0000324	yellow	2	flower color (1)|bud color (1)	Cleome brachycarpa: lemon-yellow flowers || Echinops glaberrimus: leaves and buds are lemon-yellow	FLOPO_VALUE_lemon_yellow	subclass	PATO_0000324	""
FLOPO_0980161	http://purl.obolibrary.org/obo/FLOPO_0980161	bright magenta-pink	A composite botanical phenotype value denoting bright magenta-pink, used in flora descriptions; its component qualities are saturated magenta, pink, magenta.	PATO_0000001	quality	2	flower color (2)	Corbichonia decumbens: bright magenta-pink flowers || Tephrosia purpurea ssp. leptostachya var. leptostachya: bright magenta-pink flowers	FLOPO_VALUE_bright_magenta_pink	components	PATO_0001275|PATO_0000954|PATO_0000321	""
FLOPO_0980163	http://purl.obolibrary.org/obo/FLOPO_0980163	three-angled	A botanical phenotype value denoting three-angled, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): bent.	PATO_0000617	bent	2	fruit shape (2)	Drimia maritima: the three-angled fruits || Euphorbia heterophylla: three-angled fruits	FLOPO_VALUE_three_angled	subclass	PATO_0000617	""
FLOPO_0980164	http://purl.obolibrary.org/obo/FLOPO_0980164	deep rosy-pink	A composite botanical phenotype value denoting deep rosy-pink, used in flora descriptions; its component qualities are pink, rosy, red.	PATO_0000001	quality	2	flower color (2)	Epilobium hirsutum: deep rosy-pink flowers || Tamarix aucheriana: deep rosy-pink flowers	FLOPO_VALUE_deep_rosy_pink	components	PATO_0000954|PATO_0001425|PATO_0000322	""
FLOPO_0980165	http://purl.obolibrary.org/obo/FLOPO_0980165	green and brown	A composite botanical phenotype value denoting green and brown, used in flora descriptions; its component qualities are green, brown.	PATO_0000001	quality	2	sepal color (1)|petal color (1)	Eulophia petersii: sepals and petals geen and brown || Eulophia petersii: sepals and petals geen and brown	FLOPO_VALUE_green_and_brown	components	PATO_0000320|PATO_0000952	""
FLOPO_0980166	http://purl.obolibrary.org/obo/FLOPO_0980166	rolled back at the tip	A botanical phenotype value denoting rolled back at the tip, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): back.	PATO_0001901	back	2	sepal shape (1)|petal shape (1)	Eulophia petersii: rolled back at the tip || Eulophia petersii: rolled back at the tip	FLOPO_VALUE_rolled_back_at_the_tip	subclass	PATO_0001901	""
