phenotype_class_iri	annotation_class_id	expression_sha256	supporting_assertion_count	canonical_expression_signature
https://w3id.org/flopo/annotation-class/FAC_0034df986e4d6f9eb9f53ab014a857ab	FAC_0034df986e4d6f9eb9f53ab014a857ab	0034df986e4d6f9eb9f53ab014a857abd181c3c233794d3beebc58cedfab0858	2	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009074"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""0.8"",""unit"":""http://purl.obolibrary.org/obo/UO_0000016"",""upper_inclusive"":""1.6""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_003519be6d5bbe5aedb2586a314b7fb3	FAC_003519be6d5bbe5aedb2586a314b7fb3	003519be6d5bbe5aedb2586a314b7fb3b6bdeb3a209707f6d555be303aade520	2	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009025"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""10"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""17""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_003560563608ec6b5a038cda605d8afb	FAC_003560563608ec6b5a038cda605d8afb	003560563608ec6b5a038cda605d8afbdc4660add2c93dee13db0b58bfcf3601	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009033"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""kind"":""one_of"",""terms"":[""http://purl.obolibrary.org/obo/PATO_0001877"",""http://purl.obolibrary.org/obo/PATO_0001891""]},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_0037f71e5b90dd2f7e2f811475267a0c	FAC_0037f71e5b90dd2f7e2f811475267a0c	0037f71e5b90dd2f7e2f811475267a0c71f794ff66a7ba0cf68bbbba79d46953	5	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009072"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""3"",""unit"":""http://purl.obolibrary.org/obo/UO_0000016"",""upper_inclusive"":""5""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_0038721f8a553d98727aa09ed7562320	FAC_0038721f8a553d98727aa09ed7562320	0038721f8a553d98727aa09ed7562320ac353a9f9ddd0010f9e3fc790ec639a4	2	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0020057"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0001334"",""kind"":""numeric"",""lower_inclusive"":""6"",""unit"":""http://purl.obolibrary.org/obo/UO_0000016"",""upper_inclusive"":""6""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_003fc12cdc4c174d8e9f213732e3ee1f	FAC_003fc12cdc4c174d8e9f213732e3ee1f	003fc12cdc4c174d8e9f213732e3ee1fc32d32327699e5d78d447992d89c4684	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009065"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""8"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""10""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_0045f13d799b28ef5ddf56b18c1ba8fb	FAC_0045f13d799b28ef5ddf56b18c1ba8fb	0045f13d799b28ef5ddf56b18c1ba8fb4849232ff29963b2e3823f4bdeb5f2e5	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0030107"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""11"",""unit"":""http://purl.obolibrary.org/obo/UO_0000016"",""upper_inclusive"":""14""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_0047abcfae34c8d418c9a7fb1ba2f08a	FAC_0047abcfae34c8d418c9a7fb1ba2f08a	0047abcfae34c8d418c9a7fb1ba2f08a8218e54ca6f36ea92a384d058cfefa89	2	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0030112"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""2"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""6""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_004cfc5ec0148b656595ac41389b6824	FAC_004cfc5ec0148b656595ac41389b6824	004cfc5ec0148b656595ac41389b6824d1810f98fbc8989ba4e0eac74d77b291	4	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009025"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000921"",""kind"":""numeric"",""lower_inclusive"":""2"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""7""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_005017cf63dfb391a825c7a7590790a4	FAC_005017cf63dfb391a825c7a7590790a4	005017cf63dfb391a825c7a7590790a433dc4248e71b12de7c53d1dc87fb4114	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0020039"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000921"",""kind"":""numeric"",""lower_inclusive"":""5"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""23.5""},""season_restrictions"":[],""signature_version"":1}"
