flopo_id	label	signature	bearer_po_id	category	new_parent	classification_method	review_status
FLOPO_0001761	thorn phenotype	PHENO|PO_0025172	PO:0025172	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001780	seta phenotype	PHENO|PO_0030032	PO:0030032	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001786	spore capsule annulus phenotype	PHENO|PO_0025093	PO:0025093	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001887	cotyledon phenotype	PHENO|PO_0020030	PO:0020030	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001892	petal apex phenotype	PHENO|PO_0025144	PO:0025144	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001971	simple leaf phenotype	PHENO|PO_0020042	PO:0020042	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002013	gynoecium ridge phenotype	PHENO|PO_0025088	PO:0025088	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002115	nectary phenotype	PHENO|PO_0009035	PO:0009035	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002154	papilla cell phenotype	PHENO|PO_0025166	PO:0025166	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002255	bulb phenotype	PHENO|PO_0025356	PO:0025356	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002348	sapwood phenotype	PHENO|PO_0004513	PO:0004513	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002371	areole bud phenotype	PHENO|PO_0025353	PO:0025353	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002399	thallus phenotype	PHENO|PO_0030027	PO:0030027	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002487	corm phenotype	PHENO|PO_0025355	PO:0025355	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002577	placenta phenotype	PHENO|PO_0025078	PO:0025078	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0002791	leaf axil phenotype	PHENO|PO_0009023	PO:0009023	anatomical_space	FLOPO_0017857	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
