old_flopo_id	old_label	obsolete_label	old_signature	replacement_flopo_id	replacement_label	replacement_signature	replacement_id_status	term_replaced_by	current_quality_label	current_quality_definition	replacement_quality_label	replacement_quality_definition	old_class_action	replacement_class_action	evidence	recommendation	curator_decision	curator_notes
FLOPO_0013450	vascular leaf pubescent	obsolete vascular leaf pubescent	EQ|PO_0009025|PATO_0000455	FLOPO_0980489	vascular leaf pubescent	EQ|PO_0009025|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980489	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0013483	testa pubescent	obsolete testa pubescent	EQ|PO_0020057|PATO_0000455	FLOPO_0980542	testa pubescent	EQ|PO_0020057|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980542	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0013486	cortex pubescent	obsolete cortex pubescent	EQ|PO_0005708|PATO_0000455	FLOPO_0980469	cortex pubescent	EQ|PO_0005708|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980469	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0014122	oil gland pubescent	obsolete oil gland pubescent	EQ|PO_0005669|PATO_0000455	FLOPO_0980467	oil gland pubescent	EQ|PO_0005669|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980467	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0014474	tuber pubescent	obsolete tuber pubescent	EQ|PO_0025522|PATO_0000455	FLOPO_0980580	tuber pubescent	EQ|PO_0025522|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980580	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0014542	costa pubescent	obsolete costa pubescent	EQ|PO_0030072|PATO_0000455	FLOPO_0980584	costa pubescent	EQ|PO_0030072|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980584	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0015117	raphe pubescent	obsolete raphe pubescent	EQ|PO_0020027|PATO_0000455	FLOPO_0980530	raphe pubescent	EQ|PO_0020027|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980530	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0015453	shoot system pubescent	obsolete shoot system pubescent	EQ|PO_0009006|PATO_0000455	FLOPO_0980485	shoot system pubescent	EQ|PO_0009006|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980485	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0015462	leaf sheath pubescent	obsolete leaf sheath pubescent	EQ|PO_0020104|PATO_0000455	FLOPO_0980546	leaf sheath pubescent	EQ|PO_0020104|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980546	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0015907	gynophore pubescent	obsolete gynophore pubescent	EQ|PO_0006330|PATO_0000455	FLOPO_0980477	gynophore pubescent	EQ|PO_0006330|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980477	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
